file,story_code,story_name,event_id,dialogue_id,content,figure_art
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,11,   スカジ……戻ってきたのか。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,12,   で、見つけてきたのか？　それとも……,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,16,   ふむ……無断で行動したそうだな。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,17,   私はオペレーターの私事には干渉しないし、必要以上に問いただすことはしない。ただしロドスの利益を損なわない限りだがな。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,18,   さて、この行いが、お前のロドスでの立場を脅かすことにならなければ良いな、スカジ。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,22,   私に何を要求するつもりだ？,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,28,   私が所持している情報のなかで、そんなに軽いものがあったとは驚きだな。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,32,   ほぅ、お前は任務と称してカジミエーシュの滴水村へ向かい、他のオペレーターと衝突したな。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,33,   私はお前に何の任務も命じていない。それを察してか、あの子は滴水村でも、ロドスへ戻ってからも何も口外していない。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,35,   むっ？　すでに血が融芯に注ぎ込まれてる。大地で血を流すことを忌むお前の血ではないな。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,39,   お前はそんなことまでしていたのか。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,53,   お前もお前の同胞たちも浅はかなものだ。私はただ一つの断片だけを頼りにして大地の全貌を掴もうというわけではない。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,54,   お前とロドスは契約で結ばれている、お前と私も同じだ。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,58,   お前が怒りをあらわにするのは珍しいな。そうなって初めて、普段の無気力な表情を崩すのか。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,60,   さて、スペクターに施された源石神経剤の出所を知りたいのか。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,68,   （エーギル語）「深海の狩人の血脈のつながり」,
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,71,   私は全てを知っている。,
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,76,   ああ。私の命令に従うなら、手を貸してやっていいさ。ただし、命令には絶対に従うことを約束してもらうがな。,char_003_kalts_1
level_a001_ex06_end.json,GT-HX-3,昔々西部で,1stact,80,   私とて口にしたことは守るさ。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,101,  手紙？,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,105,  「マヒゾッティア」、力と栄光か？,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,109,  そうか。久しく耳にしていなかった言語だ。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,110,  それにしても、故郷を離れた君にも連絡が来るのか。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,114,  だが君は、「ハブられた」から出てきたと言っていなかったか？　であれば大族長選挙も、もう君とは関係ないはずだろう。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,118,  故郷が恋しくなったか？,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,122,  君が故郷を訪問するのは構わないが、なぜDr.{@nickname}を連れて行く？　生物学的に考えると、ドクターが君の同族である可能性はゼロだが。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,126,  では、飛行ユニットの使用申請についてはどう説明する？　ブレイズ。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,130,  だからと言って、サルゴン政府に見つかるリスクを背負ってまで、飛行ユニットを使うつもりか？,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,134,  確かにあの辺りは、名義上サルゴン領になっているに過ぎない。よく勉強したな。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,135,  だがそこまで計画を立てていながら、なぜ今さら私に確認を？,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,139,  ……,char_003_kalts_1#2
level_act12d0_01_end.json,RI-1,落下物,act12d0,145,  いいだろう、許可する。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,150,  ああ、我々がガヴィルの故郷を知る良い機会にもなるだろう。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,151,  ガヴィルはロドスにとって必要不可欠なオペレーターだ。その本人からの要望となれば、Dr.{@nickname}とエリートオペレーター一名の休暇など、許可して然るべきだろう。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,155,  一応、今回の休暇は実地調査として扱おう。手すきのオペレーターがいれば、同行させても構わない。,char_003_kalts_1#2
level_act12d0_01_end.json,RI-1,落下物,act12d0,161,  だが先に断っておくが、本人が希望したとしても、アーミヤの同行は許可できない。業務が山積みだからな。彼女にも伝えておいてくれ。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,162,  サルゴン領内にはロドスの事務所が極めて少ない。面倒事を起こさないよう気をつけてくれ。それが個人的なものでも、ロドスに関するものでもだ。,char_003_kalts_1
level_act12d0_01_end.json,RI-1,落下物,act12d0,163,  それと、飛行ユニットはロドスとっても貴重な乗り物だ。サルゴンの環境は劣悪だが、傷一つ付けずに持ち帰ってほしい、Dr.{@nickname}。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,339,  つまり、一連の事件を経て、エンジンを取り戻した後に、緊急処置を施してなんとか帰途についたと。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,343,  ドクター、確か私は君に、飛行ユニットは貴重な乗り物だと言ったはずだが。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,347,  飛行装置の被害が修理可能な範疇に収まってる以上、私もとやかく言うつもりはない。ただし修理の費用は君とブレイズの給料から差し引かせてもらう。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,351,  エリートオペレーターは多くの責任を担うものだ。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,355,  連れてきたあの三人については、オペレーターになる素質があると君たちが判断したのであれば、ドクターに任せておけばいい。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,356,  ガヴィル、今回の里帰りは満足のいくものだったか？,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,360,  ドクターが君を置いてきた場合のことも考えていたのだがな。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,364,  君が故郷に残る可能性も考えていたということだ。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,368,  君がまだ外の生活に馴染んでいないことは明白だ。君は相変わらず自分のやり方で、毎日この大地に起きる出来事と激しい衝突を繰り返しているからな。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,369,  言い方を変えれば、君がある日突然、休職や脱退の申請を出しても私は驚かないということだ。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,375,  Dr.{@nickname}、ほかに用がなければ、もう退出して構わない。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,395,  おそらくないだろう。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,401,  していないさ。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,409,  ガヴィル。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,413,  おかえり。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,419,  君の次の任務は先週から決まっている。本当は、もうかなり遅延しているんだ。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,428,  ……,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,429,  君にとって、今回はいささか常識外れな旅だっただろう。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,430,  だが今回の出来事は、この大地が活力に満ちている証明でもある。ガヴィルの性格と同じようにな。,char_003_kalts_1
level_act12d0_09_end.json,RI-9,さらば密林,act12d0,431,  長い年月の中で、多くの物事は摩耗し本来の色を失っていく。かつての当たり前は、今となっては得難いものになっている。,char_003_kalts_1
